alter.mann,groesse.mann,alter.frau,groesse.frau
49,180,43,159
25,184,28,156
40,165,30,162
52,177,57,154
58,161,52,142
32,169,27,166
43,173,52,161
47,174,43,158
31,168,23,161
26,173,25,159
40,171,39,161
35,173,32,170
35,179,35,168
35,178,33,168
47,175,43,163
38,172,35,157
33,172,32,172
32,181,30,174
38,172,40,160
29,168,29,160
59,158,55,155
26,168,25,154
50,167,45,164
49,172,44,164
42,163,40,163
33,185,31,156
27,170,25,158
57,176,51,157
34,170,31,159
28,172,25,165
37,182,35,167
56,171,55,160
27,174,23,161
36,169,35,161
31,185,28,167
57,161,52,151
55,168,53,152
47,180,43,162
64,158,61,153
31,158,23,157
35,170,35,158
36,167,35,159
40,173,39,167
30,168,24,163
32,176,29,151
20,175,21,166
45,173,39,161
59,169,52,144
43,182,52,157
29,174,26,167
47,173,48,173
54,167,53,156
43,175,42,159
54,171,50,160
61,172,64,149
27,178,26,166
27,174,32,158
32,171,31,150
54,172,53,164
37,162,39,165
55,176,45,162
36,179,33,155
32,179,32,164
57,173,55,156
51,166,52,157
50,174,50,155
32,177,32,160
54,166,54,166
34,170,32,164
45,180,41,167
64,170,61,156
55,166,43,176
27,175,28,164
55,178,51,160
41,168,41,155
44,171,41,157
22,175,21,159
30,176,28,165
53,179,47,169
42,173,37,158
31,171,28,159
36,172,35,151
56,182,55,160
46,173,45,166
34,176,34,170
55,168,51,153
44,168,39,149
45,155,35,158
48,170,45,150
44,172,44,160
59,170,47,157
64,166,57,162
34,168,33,141
37,180,38,156
54,186,59,159
49,188,46,171
63,170,60,158
48,178,47,169
64,180,55,161
33,179,45,166
52,166,47,161
27,170,24,159
33,169,32,153
46,182,47,169
54,176,57,160
54,190,46,167
49,173,42,160
62,173,63,157
34,184,32,170
23,186,24,174
36,176,32,154
59,172,56,153
53,187,50,169
55,172,55,159
62,162,58,161
42,162,38,167
50,165,44,169
37,178,35,155
51,162,44,165
25,169,25,154
54,167,43,166
34,186,31,162
43,164,35,163
43,170,41,161
58,173,50,154
28,169,23,161
45,175,43,163
47,168,49,153
57,172,59,152
34,163,38,157
57,172,42,158
27,172,21,155
48,177,42,158
37,177,35,163
25,181,26,165
57,157,57,164
40,172,34,165
61,174,63,152
25,170,23,162
24,177,23,168
47,165,46,167
44,179,40,162
52,179,53,157
45,182,40,166
20,179,22,155
60,172,60,159
36,168,32,162
25,176,24,156
25,174,28,167
35,171,40,165
49,177,48,147
33,176,33,158
50,172,49,167
63,164,64,152
57,169,55,162
41,185,41,171
38,169,38,153
30,188,31,163
52,183,52,172
51,173,43,157
46,164,51,156
50,172,47,165
52,171,32,159
30,172,33,159
20,178,18,159
51,167,45,155
64,164,64,157
44,174,43,156
40,182,39,163
59,172,56,153
