Quarter,iPhone,iPad,Mac,iPod,Date
Q3 2000,,,1.1,,2000-07-01
Q4 2000,,,0.6,,2000-10-01
Q1 2001,,,0.7,,2001-01-01
Q2 2001,,,0.8,,2001-04-01
Q3 2001,,,0.8,,2001-07-01
Q4 2001,,,0.7,,2001-10-01
Q1 2002,,,0.8,,2002-01-01
Q2 2002,,,0.8,,2002-04-01
Q3 2002,,,0.7,,2002-07-01
Q4 2002,,,0.7,,2002-10-01
Q1 2003,,,0.7,,2003-01-01
Q2 2003,,,0.8,,2003-04-01
Q3 2003,,,0.8,0.3,2003-07-01
Q4 2003,,,0.8,0.7,2003-10-01
Q1 2004,,,0.7,0.8,2004-01-01
Q2 2004,,,0.9,0.9,2004-04-01
Q3 2004,,,0.8,2.0,2004-07-01
Q4 2004,,,1.0,4.6,2004-10-01
Q1 2005,,,1.1,5.3,2005-01-01
Q2 2005,,,1.2,6.2,2005-04-01
Q3 2005,,,1.2,6.4,2005-07-01
Q4 2005,,,1.3,14.0,2005-10-01
Q1 2006,,,1.1,8.5,2006-01-01
Q2 2006,,,1.3,8.1,2006-04-01
Q3 2006,,,1.6,8.7,2006-07-01
Q4 2006,,,1.6,21.0,2006-10-01
Q1 2007,,,1.5,10.5,2007-01-01
Q2 2007,,,1.7,9.9,2007-04-01
Q3 2007,1.1,,2.2,10.2,2007-07-01
Q4 2007,2.3,,2.3,22.1,2007-10-01
Q1 2008,1.7,,2.3,10.6,2008-01-01
Q2 2008,0.7,,2.5,11.0,2008-04-01
Q3 2008,6.9,,2.6,11.0,2008-07-01
Q4 2008,4.4,,2.5,22.7,2008-10-01
Q1 2009,3.8,,2.2,11.0,2009-01-01
Q2 2009,5.2,,2.6,10.2,2009-04-01
Q3 2009,7.4,,3.0,10.2,2009-07-01
Q4 2009,8.7,,3.4,20.1,2009-10-01
Q1 2010,8.7,,2.9,10.9,2010-01-01
Q2 2010,8.4,3.3,3.5,9.4,2010-04-01
Q3 2010,14.1,4.2,3.9,9.0,2010-07-01
Q4 2010,16.2,7.3,4.1,19.4,2010-10-01
Q1 2011,18.7,4.7,3.8,9.0,2011-01-01
Q2 2011,20.3,9.2,3.9,7.5,2011-04-01
Q3 2011,17.1,11.1,4.9,6.6,2011-07-01
Q4 2011,37.0,15.4,5.2,15.4,2011-10-01
Q1 2012,35.1,11.8,4.0,7.7,2012-01-01
Q2 2012,26.0,17.0,4.0,6.7,2012-04-01
Q3 2012,26.9,14.0,4.9,5.3,2012-07-01
Q4 2012,47.8,22.9,4.0,12.7,2012-10-01
Q1 2013,37.4,19.5,4.0,5.6,2013-01-01
Q2 2013,31.2,14.6,3.8,4.6,2013-04-01
Q3 2013,33.8,14.0,4.6,3.5,2013-07-01
Q4 2013,51.0,26.0,4.8,6.0,2013-10-01
Q1 2014,43.7,16.3,4.1,2.8,2014-01-01
Q2 2014,35.2,13.3,4.4,2.9,2014-04-01
Q3 2014,39.3,12.3,5.5,2.6,2014-07-01
Q4 2014,74.5,21.4,5.2,,2014-10-01
